HEADER
VTF File Version,1.0
VTF File Type,0
PID,1687471
Generated on,2023-11-24 15:30:12
Resolution,ms
Min Resolution,ns
Trace Version,1.0
XRT Version,2023.1

STRUCTURE
Group_Start,Native API Host Trace
Dynamic_Row,1,Native XRT API Calls,API Events
Group_Start,Host to Device Data Transfers
Dynamic_Row,2,Reads,Read Transfers
Dynamic_Row,3,Writes,Write Transfers
Group_End,Host to Device Data Transfers
Group_End,Native API Host Trace

MAPPING
483,0,858.397778,1,API_CALL,29
484,483,858.397843,1,API_CALL,29
485,0,858.399116,1,API_CALL,29
486,485,858.399154,1,API_CALL,29
490,0,858.454270,1,API_CALL,29
491,490,858.454379,1,API_CALL,29
492,0,858.457767,1,API_CALL,29
493,492,858.457803,1,API_CALL,29
494,0,858.460023,1,API_CALL,29
495,494,858.460057,1,API_CALL,29
497,0,858.475391,1,API_CALL,40
498,497,858.498931,1,API_CALL,40
504,0,858.553268,1,API_CALL,29
505,504,858.553369,1,API_CALL,29
506,0,858.554915,1,API_CALL,29
507,506,858.554950,1,API_CALL,29
509,0,858.558317,1,API_CALL,29
510,509,858.558353,1,API_CALL,29
511,0,858.559684,1,API_CALL,29
512,511,858.559717,1,API_CALL,29
513,0,858.564257,1,API_CALL,34
514,0,858.564290,2,API_CALL,43
516,513,858.580676,1,API_CALL,34
517,514,858.580676,2,API_CALL,43
519,0,858.588516,1,API_CALL,29
520,519,858.588578,1,API_CALL,29
521,0,858.589913,1,API_CALL,29
522,521,858.589949,1,API_CALL,29
588,0,860.442059,1,API_CALL,19
590,0,864.126913,1,API_CALL,19
591,588,911.223313,1,API_CALL,19
592,0,911.235537,1,API_CALL,20
593,592,911.291189,1,API_CALL,20
596,0,911.548388,1,API_CALL,22
597,596,911.576708,1,API_CALL,22
604,0,911.592247,1,API_CALL,22
605,590,911.598204,1,API_CALL,19
607,604,911.607770,1,API_CALL,22
606,0,911.616430,1,API_CALL,20
614,0,911.631255,1,API_CALL,22
615,614,911.647443,1,API_CALL,22
630,606,911.671207,1,API_CALL,20
633,0,911.824719,1,API_CALL,22
635,633,911.851924,1,API_CALL,22
644,0,911.876770,1,API_CALL,22
646,644,911.891723,1,API_CALL,22
653,0,911.904423,1,API_CALL,22
654,653,911.919398,1,API_CALL,22
663,0,911.938169,1,API_CALL,29
666,663,911.938435,1,API_CALL,29
669,0,911.944404,1,API_CALL,29
671,669,911.944463,1,API_CALL,29
672,0,911.949771,1,API_CALL,29
674,672,911.949831,1,API_CALL,29
688,0,912.024124,1,API_CALL,29
689,688,912.024244,1,API_CALL,29
690,0,912.029262,1,API_CALL,29
691,690,912.029315,1,API_CALL,29
692,0,912.031758,1,API_CALL,29
693,692,912.031791,1,API_CALL,29
703,0,912.319800,1,API_CALL,19
704,0,912.388366,1,API_CALL,19
705,0,919.349323,1,API_CALL,29
706,705,919.349502,1,API_CALL,29
707,0,919.352240,1,API_CALL,29
708,707,919.352292,1,API_CALL,29
710,0,919.359444,1,API_CALL,29
711,710,919.359483,1,API_CALL,29
712,0,919.360742,1,API_CALL,29
713,712,919.360782,1,API_CALL,29
714,0,919.367859,1,API_CALL,34
715,0,919.367913,3,API_CALL,35
717,715,919.394339,3,API_CALL,35
716,714,919.394339,1,API_CALL,34
